The bee thought that a rose was decomposed by Liam .	think ( agent = * bee , ccomp = decompose ( theme = rose , agent = Liam ) )
A dealer was returned the bat .	return ( recipient = dealer , theme = * bat )
A rose was rented to a boy by Emma .	rent ( theme = rose , recipient = boy , agent = Emma )
A girl returned the prince the cake .	return ( agent = girl , recipient = * prince , theme = * cake )
A game was helped .	help ( theme = game )
Emma was given a cookie on the chair .	give ( recipient = Emma , theme = cookie ( nmod . on = * chair ) )
Ava sold Ethan a cookie in the pit .	sell ( agent = Ava , recipient = Ethan , theme = cookie ( nmod . in = * pit ) )
Emma proved that the girl stuttered .	prove ( agent = Emma , ccomp = stutter ( agent = * girl ) )
Mia was lent the cake by the dealer .	lend ( recipient = Mia , theme = * cake , agent = * dealer )
The jacket was juggled .	juggle ( theme = * jacket )
The bird talked .	talk ( agent = * bird )
David sold a cake to Lucas .	sell ( agent = David , theme = cake , recipient = Lucas )
Emma noticed .	notice ( agent = Emma )
The cake was cleaned by Liam .	clean ( theme = * cake , agent = Liam )
A cake was sent to James by Olivia .	send ( theme = cake , recipient = James , agent = Olivia )
A boy ate the lollipop .	eat ( agent = boy , theme = * lollipop )
A key was given to Emma by the girl .	give ( theme = key , recipient = Emma , agent = * girl )
Mason hoped that a child touched the cake that was lent to the girl .	hope ( agent = Mason , ccomp = touch ( agent = child , theme = * cake ( nmod = lend ( theme = * cake , recipient = * girl ) ) ) )
A scientist meant that Camila declared that the boy dusted .	mean ( agent = scientist , ccomp = declare ( agent = Camila , ccomp = dust ( agent = * boy ) ) )
Jaxon was given the muffin .	give ( recipient = Jaxon , theme = * muffin )
Olivia was wired a needle .	wire ( recipient = Olivia , theme = needle )
The priest liked the chalk beside the bed .	like ( agent = * priest , theme = * chalk ( nmod . beside = * bed ) )
Michael respected the cookie .	respect ( agent = Michael , theme = * cookie )
The box was poked by a girl .	poke ( theme = * box , agent = girl )
A pupil tried to walk .	try ( agent = pupil , xcomp = walk ( agent = pupil ) )
Emma burned a cookie that the girl that the dog that a cat that Chloe rolled cooked pierced ate .	burn ( agent = Emma , theme = cookie ( nmod = eat ( agent = * girl ( nmod = pierce ( agent = * dog ( nmod = cook ( agent = cat ( nmod = roll ( agent = Chloe , theme = cat ) ) , theme = * dog ) ) , theme = * girl ) ) , theme = cookie ) ) )
Sophia rolled a cat that returned Emma a cake .	roll ( agent = Sophia , theme = cat ( nmod = return ( agent = cat , recipient = Emma , theme = cake ) ) )
A boy burned a cat beside a table .	burn ( agent = boy , theme = cat ( nmod . beside = table ) )
The banana was stabbed by Emma .	stab ( theme = * banana , agent = Emma )
Liam observed the writer that Emma burned .	observe ( agent = Liam , theme = * writer ( nmod = burn ( agent = Emma , theme = * writer ) ) )
Nathan was lent the drink by Isabella .	lend ( recipient = Nathan , theme = * drink , agent = Isabella )
A mother admired that the donut was liked by a sailor .	admire ( agent = mother , ccomp = like ( theme = * donut , agent = sailor ) )
The towel was rolled .	roll ( theme = * towel )
A patient wanted to run .	want ( agent = patient , xcomp = run ( agent = patient ) )
The brain was rolled by a girl .	roll ( theme = * brain , agent = girl )
The sheep lent a cat the cake beside the road .	lend ( agent = * sheep , recipient = cat , theme = * cake ( nmod . beside = * road ) )
Who rolled a clock ?	roll ( agent = ? , theme = clock )
A cake was liked by Noah .	like ( theme = cake , agent = Noah )
A bat was snapped .	snap ( theme = bat )
Mila was handed the ball in a train .	hand ( recipient = Mila , theme = * ball ( nmod . in = train ) )
Emma ate the cake beside the surgeon .	eat ( agent = Emma , theme = * cake ( nmod . beside = * surgeon ) )
A girl ate a child that a sailor nursed .	eat ( agent = girl , theme = child ( nmod = nurse ( agent = sailor , theme = child ) ) )
