A rose was helped by a dog .	help ( theme = rose , agent = dog )
The sailor dusted a boy .	dust ( agent = * sailor , theme = boy )
Emma rolled a teacher .	roll ( agent = Emma , theme = teacher )
Evelyn rolled the girl .	roll ( agent = Evelyn , theme = * girl )
A cake was forwarded to Levi by Charlotte .	forward ( theme = cake , recipient = Levi , agent = Charlotte )
The captain ate .	eat ( agent = * captain )
The girl needed to cook .	need ( agent = * girl , xcomp = cook ( agent = * girl ) )
A cake rolled .	roll ( theme = cake )
The cookie was passed to Emma .	pass ( theme = * cookie , recipient = Emma )
Emma ate the ring beside a bed .	eat ( agent = Emma , theme = * ring ( nmod . beside = bed ) )
A horse gave the cake beside a table to the mouse .	give ( agent = horse , theme = * cake ( nmod . beside = table ) , recipient = * mouse )
Amelia gave Emma a strawberry .	give ( agent = Amelia , recipient = Emma , theme = strawberry )
A cat disintegrated a girl .	disintegrate ( agent = cat , theme = girl )
Eleanor sold Evelyn the cake .	sell ( agent = Eleanor , recipient = Evelyn , theme = * cake )
The book was lent to Benjamin by a cat .	lend ( theme = * book , recipient = Benjamin , agent = cat )
The cake was frozen by the giraffe .	freeze ( theme = * cake , agent = * giraffe )
The donut was studied .	study ( theme = * donut )
Isabella forwarded a box on a tree to Emma .	forward ( agent = Isabella , theme = box ( nmod . on = tree ) , recipient = Emma )
A cake was stabbed by Scarlett .	stab ( theme = cake , agent = Scarlett )
A pencil was fed to Liam by the deer .	feed ( theme = pencil , recipient = Liam , agent = * deer )
The cake was eaten by Olivia .	eat ( theme = * cake , agent = Olivia )
The pen was offered to the girl by Emma .	offer ( theme = * pen , recipient = * girl , agent = Emma )
Oliver crumpled .	crumple ( theme = Oliver )
A butterfly cleaned .	clean ( agent = butterfly )
The melon was lent to a girl .	lend ( theme = * melon , recipient = girl )
A bottle was rolled by Olivia .	roll ( theme = bottle , agent = Olivia )
The priest ate .	eat ( agent = * priest )
The cat knew the boy .	know ( agent = * cat , theme = * boy )
Olivia was slipped a pencil .	slip ( recipient = Olivia , theme = pencil )
Oliver awarded Isabella the donut .	award ( agent = Oliver , recipient = Isabella , theme = * donut )
The cake was liked by a lawyer .	like ( theme = * cake , agent = lawyer )
A girl was awarded a cake in a soup .	award ( recipient = girl , theme = cake ( nmod . in = soup ) )
The girl drew a bat .	draw ( agent = * girl , theme = bat )
A squirrel valued a cookie on a seat .	value ( agent = squirrel , theme = cookie ( nmod . on = seat ) )
The bat was drawn by Emma .	draw ( theme = * bat , agent = Emma )
A drink was eaten by a child .	eat ( theme = drink , agent = child )
Amelia dusted the girl beside a stage .	dust ( agent = Amelia , theme = * girl ( nmod . beside = stage ) )
Mia respected a cake .	respect ( agent = Mia , theme = cake )
The cookie was sold to Charlotte .	sell ( theme = * cookie , recipient = Charlotte )
A penny rolled .	roll ( theme = penny )
Charlotte was passed a cake .	pass ( recipient = Charlotte , theme = cake )
A girl offered a rose to Isabella .	offer ( agent = girl , theme = rose , recipient = Isabella )
The crayon was nursed .	nurse ( theme = * crayon )
A cookie was lent to a frog by a girl .	lend ( theme = cookie , recipient = frog , agent = girl )
Liam meant that Sophia rolled a teacher on a seat .	mean ( agent = Liam , ccomp = roll ( agent = Sophia , theme = teacher ( nmod . on = seat ) ) )
The dog sold the girl a cake .	sell ( agent = * dog , recipient = * girl , theme = cake )
A citizen passed the dog the cake .	pass ( agent = citizen , recipient = * dog , theme = * cake )
A sandwich was given to the cat by the giraffe .	give ( theme = sandwich , recipient = * cat , agent = * giraffe )
The box was missed by Emma .	miss ( theme = * box , agent = Emma )
Liam hoped that the dog preferred to run .	hope ( agent = Liam , ccomp = prefer ( agent = * dog , xcomp = run ( agent = * dog ) ) )
A visitor was posted a rose by a turtle .	post ( recipient = visitor , theme = rose , agent = turtle )
The penny was painted .	paint ( theme = * penny )
David expected to cook .	expect ( agent = David , xcomp = cook ( agent = David ) )
Camila was forwarded the cookie in a house beside the computer by Olivia .	forward ( recipient = Camila , theme = * cookie ( nmod . in = house ( nmod . beside = * computer ) ) , agent = Olivia )
James investigated .	investigate ( agent = James )
The child appreciated that Emma valued that a cookie was slid .	appreciate ( agent = * child , ccomp = value ( agent = Emma , ccomp = slide ( theme = cookie ) ) )
Emma liked that a girl saw .	like ( agent = Emma , ccomp = see ( agent = girl ) )
The pen was helped .	help ( theme = * pen )
Emma liked that the melon was rolled .	like ( agent = Emma , ccomp = roll ( theme = * melon ) )
The sailor laughed .	laugh ( agent = * sailor )
The teacher hunted Emma .	hunt ( agent = * teacher , theme = Emma )
A game was changed by the boy .	change ( theme = game , agent = * boy )
Liam gave the monkey a chalk in the container .	give ( agent = Liam , recipient = * monkey , theme = chalk ( nmod . in = * container ) )
The boy was lent a present by the baby .	lend ( recipient = * boy , theme = present , agent = * baby )
Isabella liked a cat .	like ( agent = Isabella , theme = cat )
A donut was offered to the turtle .	offer ( theme = donut , recipient = * turtle )
Michael respected a cake on a chair .	respect ( agent = Michael , theme = cake ( nmod . on = chair ) )
touch	touch
Chloe was handed the raisin on the table by Emma .	hand ( recipient = Chloe , theme = * raisin ( nmod . on = * table ) , agent = Emma )
A cake was rented to a bee .	rent ( theme = cake , recipient = bee )
A bee hunted the cake on the seat in the sack .	hunt ( agent = bee , theme = * cake ( nmod . on = * seat ( nmod . in = * sack ) ) )
A brain was valued by Emma .	value ( theme = brain , agent = Emma )
A box was inflated .	inflate ( theme = box )
Olivia liked the donut .	like ( agent = Olivia , theme = * donut )
A monster ate .	eat ( agent = monster )
The coach ate .	eat ( agent = * coach )
Dylan offered a flag beside a trophy to Liam .	offer ( agent = Dylan , theme = flag ( nmod . beside = trophy ) , recipient = Liam )
The donut was thrown .	throw ( theme = * donut )
A cake was given to Ethan .	give ( theme = cake , recipient = Ethan )
Olivia was handed a cake in a garden .	hand ( recipient = Olivia , theme = cake ( nmod . in = garden ) )
The butterfly lent a donut beside the table to Matthew .	lend ( agent = * butterfly , theme = donut ( nmod . beside = * table ) , recipient = Matthew )
A muffin was fed to the monkey by Elizabeth .	feed ( theme = muffin , recipient = * monkey , agent = Elizabeth )
A bat was cooked .	cook ( theme = bat )
Ella decomposed a cookie in the stadium .	decompose ( agent = Ella , theme = cookie ( nmod . in = * stadium ) )
The frog believed that a cake was given to Emma by Ava .	believe ( agent = * frog , ccomp = give ( theme = cake , recipient = Emma , agent = Ava ) )
Liam was given the strawberry in a cabinet .	give ( recipient = Liam , theme = * strawberry ( nmod . in = cabinet ) )
Evelyn preferred to eat .	prefer ( agent = Evelyn , xcomp = eat ( agent = Evelyn ) )
The lion smiled .	smile ( agent = * lion )
Olivia nursed .	nurse ( agent = Olivia )
The girl posted Emma the rose .	post ( agent = * girl , recipient = Emma , theme = * rose )
The girl loved a cake beside a house .	love ( agent = * girl , theme = cake ( nmod . beside = house ) )
Emma passed a cake to the girl .	pass ( agent = Emma , theme = cake , recipient = * girl )
The priest changed .	change ( theme = * priest )
A lion supported that the boy dusted .	support ( agent = lion , ccomp = dust ( agent = * boy ) )
The child dreamed to talk .	dream ( agent = * child , xcomp = talk ( agent = * child ) )
The box was drawn by the child .	draw ( theme = * box , agent = * child )
Camila gave a cake in a storage to Emma .	give ( agent = Camila , theme = cake ( nmod . in = storage ) , recipient = Emma )
The cookie was liked by a scientist .	like ( theme = * cookie , agent = scientist )
The balloon was handed to a donkey by Ava .	hand ( theme = * balloon , recipient = donkey , agent = Ava )
A cracker was poked .	poke ( theme = cracker )
The girl offered a cake in the cup beside a torch to Alexander .	offer ( agent = * girl , theme = cake ( nmod . in = * cup ( nmod . beside = torch ) ) , recipient = Alexander )
A frog ate a sweetcorn in a pile .	eat ( agent = frog , theme = sweetcorn ( nmod . in = pile ) )
A donut was eaten by a boy .	eat ( theme = donut , agent = boy )
The cake was loved by Aubrey .	love ( theme = * cake , agent = Aubrey )
Liam forwarded the girl the donut .	forward ( agent = Liam , recipient = * girl , theme = * donut )
A girl helped the cake on the rack .	help ( agent = girl , theme = * cake ( nmod . on = * rack ) )
A girl was sold the cake .	sell ( recipient = girl , theme = * cake )
Emma floated Alexander .	float ( agent = Emma , theme = Alexander )
A girl sold the cookie to Charlotte .	sell ( agent = girl , theme = * cookie , recipient = Charlotte )
The fig was liked .	like ( theme = * fig )
Hazel cried .	cry ( agent = Hazel )
The jacket was held .	hold ( theme = * jacket )
The girl changed a sandwich beside the table .	change ( agent = * girl , theme = sandwich ( nmod . beside = * table ) )
Emma gave a landlord the box in a house .	give ( agent = Emma , recipient = landlord , theme = * box ( nmod . in = house ) )
The balloon was painted by a boy .	paint ( theme = * balloon , agent = boy )
A girl liked the raisin .	like ( agent = girl , theme = * raisin )
The pancake was passed to Charlotte by Noah .	pass ( theme = * pancake , recipient = Charlotte , agent = Noah )
The monkey posted a pen to the spokesman .	post ( agent = * monkey , theme = pen , recipient = * spokesman )
The pretzel was doubled .	double ( theme = * pretzel )
The cake was lent to a dog by Emma .	lend ( theme = * cake , recipient = dog , agent = Emma )
A rose was given to a pig .	give ( theme = rose , recipient = pig )
A baby liked the strawberry beside the tree .	like ( agent = baby , theme = * strawberry ( nmod . beside = * tree ) )
The donut was painted by Elizabeth .	paint ( theme = * donut , agent = Elizabeth )
The girl adored a donut .	adore ( agent = * girl , theme = donut )
The glue was offered to the boy .	offer ( theme = * glue , recipient = * boy )
The box was held by Charlotte .	hold ( theme = * box , agent = Charlotte )
The dog mailed Liam a ball .	mail ( agent = * dog , recipient = Liam , theme = ball )
The box was dusted .	dust ( theme = * box )
The girl was lent the balloon by Harper .	lend ( recipient = * girl , theme = * balloon , agent = Harper )
A cat brought Emma the cookie .	bring ( agent = cat , recipient = Emma , theme = * cookie )
A raisin was improved by a friend .	improve ( theme = raisin , agent = friend )
The watch was rolled .	roll ( theme = * watch )
A cat floated .	float ( theme = cat )
Emma needed to talk .	need ( agent = Emma , xcomp = talk ( agent = Emma ) )
A melon was disintegrated .	disintegrate ( theme = melon )
Asher shortened a dog .	shorten ( agent = Asher , theme = dog )
