A monkey liked a dog that burned a plant .	monkey ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND dog ( x _ 4 ) AND dog . nmod ( x _ 4 , x _ 6 ) AND burn . agent ( x _ 6 , x _ 4 ) AND burn . theme ( x _ 6 , x _ 8 ) AND plant ( x _ 8 )	like ( agent = monkey , theme = dog ( nmod = burn ( agent = dog , theme = plant ) ) )	
Ava floated a biscuit that the chicken lended the fish .	* chicken ( x _ 6 ) ; * fish ( x _ 9 ) ; float . agent ( x _ 1 , Ava ) AND float . theme ( x _ 1 , x _ 3 ) AND biscuit ( x _ 3 ) AND biscuit . nmod ( x _ 3 , x _ 7 ) AND lend . agent ( x _ 7 , x _ 6 ) AND lend . recipient ( x _ 7 , x _ 9 ) AND lend . theme ( x _ 7 , x _ 3 )	float ( agent = Ava , theme = biscuit ( nmod = lend ( agent = * chicken , recipient = * fish , theme = biscuit ) ) )	
A dog drew the cake that the baby slipped to Emma .	* cake ( x _ 4 ) ; * baby ( x _ 7 ) ; dog ( x _ 1 ) AND draw . agent ( x _ 2 , x _ 1 ) AND draw . theme ( x _ 2 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 8 ) AND slip . agent ( x _ 8 , x _ 7 ) AND slip . recipient ( x _ 8 , Emma ) AND slip . theme ( x _ 8 , x _ 4 )	draw ( agent = dog , theme = * cake ( nmod = slip ( agent = * baby , recipient = Emma , theme = * cake ) ) )	
Elijah held the cookie that was lended to the boy by Evelyn .	* cookie ( x _ 3 ) ; * boy ( x _ 9 ) ; hold . agent ( x _ 1 , Elijah ) AND hold . theme ( x _ 1 , x _ 3 ) AND cookie . nmod ( x _ 3 , x _ 6 ) AND lend . theme ( x _ 6 , x _ 3 ) AND lend . recipient ( x _ 6 , x _ 9 ) AND lend . agent ( x _ 6 , Evelyn )	hold ( agent = Elijah , theme = * cookie ( nmod = lend ( theme = * cookie , recipient = * boy , agent = Evelyn ) ) )	
A bee rolled a bat that Emma sold to a bird .	bee ( x _ 1 ) AND roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND bat ( x _ 4 ) AND bat . nmod ( x _ 4 , x _ 7 ) AND sell . agent ( x _ 7 , Emma ) AND sell . recipient ( x _ 7 , x _ 10 ) AND sell . theme ( x _ 7 , x _ 4 ) AND bird ( x _ 10 )	roll ( agent = bee , theme = bat ( nmod = sell ( agent = Emma , recipient = bird , theme = bat ) ) )	
Emma painted a cake that Oliver shortened .	paint . agent ( x _ 1 , Emma ) AND paint . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND shorten . agent ( x _ 6 , Oliver ) AND shorten . theme ( x _ 6 , x _ 3 )	paint ( agent = Emma , theme = cake ( nmod = shorten ( agent = Oliver , theme = cake ) ) )	
A king gave Emma the basket that was eaten .	* basket ( x _ 5 ) ; king ( x _ 1 ) AND give . agent ( x _ 2 , x _ 1 ) AND give . recipient ( x _ 2 , Emma ) AND give . theme ( x _ 2 , x _ 5 ) AND basket . nmod ( x _ 5 , x _ 8 ) AND eat . theme ( x _ 8 , x _ 5 )	give ( agent = king , recipient = Emma , theme = * basket ( nmod = eat ( theme = * basket ) ) )	
A cow rolled the girl that Liam ate .	* girl ( x _ 4 ) ; cow ( x _ 1 ) AND roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND girl . nmod ( x _ 4 , x _ 7 ) AND eat . agent ( x _ 7 , Liam ) AND eat . theme ( x _ 7 , x _ 4 )	roll ( agent = cow , theme = * girl ( nmod = eat ( agent = Liam , theme = * girl ) ) )	
Liam drew a donut that Olivia liked .	draw . agent ( x _ 1 , Liam ) AND draw . theme ( x _ 1 , x _ 3 ) AND donut ( x _ 3 ) AND donut . nmod ( x _ 3 , x _ 6 ) AND like . agent ( x _ 6 , Olivia ) AND like . theme ( x _ 6 , x _ 3 )	draw ( agent = Liam , theme = donut ( nmod = like ( agent = Olivia , theme = donut ) ) )	
Avery ate a bat that was eaten .	eat . agent ( x _ 1 , Avery ) AND eat . theme ( x _ 1 , x _ 3 ) AND eat . theme ( x _ 1 , x _ 3 ) AND bat ( x _ 3 ) AND bat . nmod ( x _ 3 , x _ 6 ) AND eat . agent ( x _ 6 , Avery ) AND eat . theme ( x _ 6 , x _ 3 ) AND eat . theme ( x _ 6 , x _ 3 )	eat ( agent = Avery , theme = bat ( nmod = eat ( theme = bat ) ) )	
Scarlett gave a rose that was frozen by Noah to Emma .	give . agent ( x _ 1 , Scarlett ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , Emma ) AND rose ( x _ 3 ) AND rose . nmod ( x _ 3 , x _ 6 ) AND freeze . theme ( x _ 6 , x _ 3 ) AND freeze . agent ( x _ 6 , Noah )	give ( agent = Scarlett , theme = rose ( nmod = freeze ( theme = rose , agent = Noah ) ) , recipient = Emma )	
The baby changed the bee that liked that Emma was given the drink .	* baby ( x _ 1 ) ; * bee ( x _ 4 ) ; * drink ( x _ 12 ) ; change . agent ( x _ 2 , x _ 1 ) AND change . theme ( x _ 2 , x _ 4 ) AND bee . nmod ( x _ 4 , x _ 6 ) AND like . agent ( x _ 6 , x _ 4 ) AND like . ccomp ( x _ 6 , x _ 10 ) AND give . recipient ( x _ 10 , Emma ) AND give . theme ( x _ 10 , x _ 12 )	change ( agent = * baby , theme = * bee ( nmod = like ( agent = * bee , ccomp = give ( recipient = Emma , theme = * drink ) ) ) )	
The judge cleaned a chalk that Ava lended David .	* judge ( x _ 1 ) ; clean . agent ( x _ 2 , x _ 1 ) AND clean . theme ( x _ 2 , x _ 4 ) AND chalk ( x _ 4 ) AND chalk . nmod ( x _ 4 , x _ 7 ) AND lend . agent ( x _ 7 , Ava ) AND lend . recipient ( x _ 7 , David ) AND lend . theme ( x _ 7 , x _ 4 )	clean ( agent = * judge , theme = chalk ( nmod = lend ( agent = Ava , recipient = David , theme = chalk ) ) )	
The girl dreamed that Liam lended a cake that was changed by Emma to a cat .	* girl ( x _ 1 ) ; dream . agent ( x _ 2 , x _ 1 ) AND dream . ccomp ( x _ 2 , x _ 5 ) AND lend . agent ( x _ 5 , Liam ) AND lend . theme ( x _ 5 , x _ 7 ) AND lend . recipient ( x _ 5 , x _ 15 ) AND cake ( x _ 7 ) AND cake . nmod ( x _ 7 , x _ 10 ) AND change . theme ( x _ 10 , x _ 7 ) AND change . agent ( x _ 10 , Emma ) AND cat ( x _ 15 )	dream ( agent = * girl , ccomp = lend ( agent = Liam , theme = cake ( nmod = change ( theme = cake , agent = Emma ) ) , recipient = cat ) )	
The girl split the cake that reddened .	* girl ( x _ 1 ) ; * cake ( x _ 4 ) ; split . agent ( x _ 2 , x _ 1 ) AND split . theme ( x _ 2 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 6 ) AND redden . theme ( x _ 6 , x _ 4 )	split ( agent = * girl , theme = * cake ( nmod = redden ( theme = * cake ) ) )	
