A mother rented the chicken a cake .	rent ( agent = mother , recipient = * chicken , theme = cake )
Hannah	Hannah
Emma tried to dust .	try ( agent = Emma , xcomp = dust ( agent = Emma ) )
Owen rolled the girl beside the TV .	roll ( agent = Owen , theme = * girl ( nmod . beside = * TV ) )
pack	pack
Thomas was lent the box .	lend ( recipient = Thomas , theme = * box )
Mila ate .	eat ( agent = Mila )
Natalie	Natalie
Mateo handed Ellie a tool .	hand ( agent = Mateo , recipient = Ellie , theme = tool )
The lamb found Olivia .	find ( agent = * lamb , theme = Olivia )
The girl was given a box on a table by the child .	give ( recipient = * girl , theme = box ( nmod . on = table ) , agent = * child )
A soldier decomposed .	decompose ( theme = soldier )
smile	smile
disintegrate	disintegrate
A girl gave the cake in the room to Emma .	give ( agent = girl , theme = * cake ( nmod . in = * room ) , recipient = Emma )
The boy valued that the rose was forwarded to the queen by the cat .	value ( agent = * boy , ccomp = forward ( theme = * rose , recipient = * queen , agent = * cat ) )
Liam lent a fig to Audrey .	lend ( agent = Liam , theme = fig , recipient = Audrey )
Olivia liked a cloud in a glass .	like ( agent = Olivia , theme = cloud ( nmod . in = glass ) )
The girl was fed the cake in a bucket .	feed ( recipient = * girl , theme = * cake ( nmod . in = bucket ) )
A toy was juggled by Evelyn .	juggle ( theme = toy , agent = Evelyn )
The cookie was eaten by a dog .	eat ( theme = * cookie , agent = dog )
giraffe	giraffe
A fish offered a pizza to the boy .	offer ( agent = fish , theme = pizza , recipient = * boy )
raisin	raisin
Claire enlarged Emma .	enlarge ( agent = Claire , theme = Emma )
Emma inflated a shirt beside a cat .	inflate ( agent = Emma , theme = shirt ( nmod . beside = cat ) )
A plate was rolled .	roll ( theme = plate )
A box was inflated .	inflate ( theme = box )
Amelia posted a prisoner a box on the table .	post ( agent = Amelia , recipient = prisoner , theme = box ( nmod . on = * table ) )
Olivia wanted to walk .	want ( agent = Olivia , xcomp = walk ( agent = Olivia ) )
The writer was brought the cake in the shoe .	bring ( recipient = * writer , theme = * cake ( nmod . in = * shoe ) )
The hammer was sold to the dog .	sell ( theme = * hammer , recipient = * dog )
Benjamin was offered a donut in the storage by Emma .	offer ( recipient = Benjamin , theme = donut ( nmod . in = * storage ) , agent = Emma )
nurse	nurse
A girl was sent a cookie by Stella .	send ( recipient = girl , theme = cookie , agent = Stella )
A dog loved to cook .	love ( agent = dog , xcomp = cook ( agent = dog ) )
The crown was crumpled by a baby .	crumple ( theme = * crown , agent = baby )
A raisin was cleaned .	clean ( theme = raisin )
The balloon was rolled by Noah .	roll ( theme = * balloon , agent = Noah )
The cat liked Emma .	like ( agent = * cat , theme = Emma )
Charlotte	Charlotte
A jigsaw was lent to a manager .	lend ( theme = jigsaw , recipient = manager )
donkey	donkey
sketch	sketch
Liam floated .	float ( theme = Liam )
A scarf was loved by the child .	love ( theme = scarf , agent = * child )
Olivia rented Zoe the cake .	rent ( agent = Olivia , recipient = Zoe , theme = * cake )
A plant grew .	grow ( theme = plant )
value	value
Emma lent a box beside the bed to the director .	lend ( agent = Emma , theme = box ( nmod . beside = * bed ) , recipient = * director )
Benjamin meant to dance .	mean ( agent = Benjamin , xcomp = dance ( agent = Benjamin ) )
Liam hated to walk .	hate ( agent = Liam , xcomp = walk ( agent = Liam ) )
Emma hoped that the hippo rolled .	hope ( agent = Emma , ccomp = roll ( theme = * hippo ) )
Emma hoped to nap .	hope ( agent = Emma , xcomp = nap ( agent = Emma ) )
crocodile	crocodile
tolerate	tolerate
hold	hold
dust	dust
worship	worship
The raisin was rolled by Emma .	roll ( theme = * raisin , agent = Emma )
cow	cow
A pumpkin was squeezed .	squeeze ( theme = pumpkin )
lawyer	lawyer
split	split
Harper confessed that the teacher painted a weapon .	confess ( agent = Harper , ccomp = paint ( agent = * teacher , theme = weapon ) )
A strawberry was eaten by a boy .	eat ( theme = strawberry , agent = boy )
A boy grew a giraffe in a glass .	grow ( agent = boy , theme = giraffe ( nmod . in = glass ) )
A cat was given a donut beside the table by the tiger .	give ( recipient = cat , theme = donut ( nmod . beside = * table ) , agent = * tiger )
Liam offered Mia a cookie .	offer ( agent = Liam , recipient = Mia , theme = cookie )
find	find
sailor	sailor
Olivia offered Liam the strawberry .	offer ( agent = Olivia , recipient = Liam , theme = * strawberry )
Jacob smirked .	smirk ( agent = Jacob )
A boy was given the cookie by Emma .	give ( recipient = boy , theme = * cookie , agent = Emma )
The boy adored the cookie beside the table .	adore ( agent = * boy , theme = * cookie ( nmod . beside = * table ) )
A scientist helped a host on the stage .	help ( agent = scientist , theme = host ( nmod . on = * stage ) )
Emma was awarded a rose .	award ( recipient = Emma , theme = rose )
Emma painted a donut .	paint ( agent = Emma , theme = donut )
Mason found a girl on the box .	find ( agent = Mason , theme = girl ( nmod . on = * box ) )
improve	improve
The girl liked that Leah teleported Sophia the cake in a house .	like ( agent = * girl , ccomp = teleport ( agent = Leah , recipient = Sophia , theme = * cake ( nmod . in = house ) ) )
The sheep floated Emma .	float ( agent = * sheep , theme = Emma )
redden	redden
Noah grew the pizza .	grow ( agent = Noah , theme = * pizza )
A cookie was decomposed .	decompose ( theme = cookie )
Paula	Paula
Victoria hoped that Liam was given the chalk by Emma .	hope ( agent = Victoria , ccomp = give ( recipient = Liam , theme = * chalk , agent = Emma ) )
know	know
Chloe	Chloe
The brain was liked .	like ( theme = * brain )
Emma fed a bunny a donut on the pedestal .	feed ( agent = Emma , recipient = bunny , theme = donut ( nmod . on = * pedestal ) )
respect	respect
shorten	shorten
Emma thought that a donut was adored .	think ( agent = Emma , ccomp = adore ( theme = donut ) )
tolerate	tolerate
Paula	Paula
Bella held the donut .	hold ( agent = Bella , theme = * donut )
Olivia sketched a girl beside a chair .	sketch ( agent = Olivia , theme = girl ( nmod . beside = chair ) )
float	float
redden	redden
slide	slide
William examined the ball .	examine ( agent = William , theme = * ball )
redden	redden
A kitty liked a cat beside a table .	like ( agent = kitty , theme = cat ( nmod . beside = table ) )
The buyer forwarded Emma Charlie .	forward ( agent = * buyer , recipient = Emma , theme = Charlie )
juggle	juggle
Logan loved a manager on the deck .	love ( agent = Logan , theme = manager ( nmod . on = * deck ) )
The mouse decomposed the child .	decompose ( agent = * mouse , theme = * child )
The hamburger was enlarged by the girl .	enlarge ( theme = * hamburger , agent = * girl )
A cake was fed to the monster .	feed ( theme = cake , recipient = * monster )
Natalie	Natalie
nap	nap
Claire said that a cake was slid by Noah .	say ( agent = Claire , ccomp = slide ( theme = cake , agent = Noah ) )
The girl was given a sandwich .	give ( recipient = * girl , theme = sandwich )
Matthew was sold a biscuit on a chair by the crocodile .	sell ( recipient = Matthew , theme = biscuit ( nmod . on = chair ) , agent = * crocodile )
boy	boy
stutter	stutter
sneeze	sneeze
boy	boy
The muffin was respected by the girl .	respect ( theme = * muffin , agent = * girl )
Leah wanted to run .	want ( agent = Leah , xcomp = run ( agent = Leah ) )
Jacob was given a drink beside the road beside the painting .	give ( recipient = Jacob , theme = drink ( nmod . beside = * road ( nmod . beside = * painting ) ) )
The boy proved that Theodore smiled .	prove ( agent = * boy , ccomp = smile ( agent = Theodore ) )
hat	hat
Emma was lent a drink beside a book by a cat .	lend ( recipient = Emma , theme = drink ( nmod . beside = book ) , agent = cat )
Sofia	Sofia
snap	snap
A dog grew a cookie beside a table .	grow ( agent = dog , theme = cookie ( nmod . beside = table ) )
guitar	guitar
Jacob	Jacob
find	find
A banana was seen .	see ( theme = banana )
find	find
decompose	decompose
The hamburger was admired by Emma .	admire ( theme = * hamburger , agent = Emma )
Wyatt baked .	bake ( agent = Wyatt )
pierce	pierce
shorten	shorten
Ellie was brought the drink .	bring ( recipient = Ellie , theme = * drink )
